window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a_occlusion,ci_lo_occlusion,ci_hi_occlusion,p_value_occlusion,effect_size,test,bootstrap_unit,q_value_bh_occlusion,is_primary_window,mean_difference_b_minus_a_ig,ci_lo_ig,ci_hi_ig,p_value_ig,q_value_bh_ig,direction_agrees,both_significant_q05
20,cross_language_fake,low_frac,0.6324814063331615,0.3871802030614543,-0.24530120327170724,-0.2828490538375777,-0.2055865693702511,9.76990740400989e-22,-1.759281432598099,Mann-Whitney U + cluster bootstrap,speaker,4.8849537020049456e-21,True,-0.2889783713654399,-0.3339983996402462,-0.2427195562997111,3.316245288853443e-21,1.6581226444267214e-20,True,True
20,cross_language_fake,mid_frac,0.2525759186046352,0.33139551408074797,0.07881959547611278,0.05710134077842374,0.10009513013194106,3.5224962679447203e-13,1.013180062099256,Mann-Whitney U + cluster bootstrap,speaker,1.1741654226482401e-12,True,0.1099119783243175,0.0834866296127018,0.1355919599441576,2.7946732627616583e-14,9.315577542538861e-14,True,True
20,cross_language_fake,high_frac,0.11494267506220321,0.28142428285779775,0.16648160779559454,0.14373838526350494,0.1872573061630219,2.7624242977599915e-23,2.23212098003885,Mann-Whitney U + cluster bootstrap,speaker,2.7624242977599917e-22,True,0.1790663930411224,0.1577634126687942,0.1990774928103352,8.882024370997482e-24,8.882024370997483e-23,True,True
20,cross_language_fake,speech_frac,0.999699736237526,0.9856197887659073,-0.01407994747161867,-0.02660925158939759,-0.003834602365399895,0.04664987253669902,-0.32777548272667884,Mann-Whitney U + cluster bootstrap,speaker,0.04664987253669902,True,-0.0015684121847152,-0.0028319979456416,-0.0004993369383659,0.046649872536699,0.077749787561165,True,False
20,cross_language_fake,silence_frac,0.00030026362277567385,0.014380213133990764,0.01407994951121509,0.004186142156711177,0.027231313081702624,0.04664987253669902,0.327775510155825,Mann-Whitney U + cluster bootstrap,speaker,0.04664987253669902,True,0.0015684134070761,0.0005434416363176,0.0027494704010896,0.046649872536699,0.077749787561165,True,False
20,cross_language_fake,gini,0.2911484418630202,0.2396722483652469,-0.0514761934977733,-0.08536879056854324,-0.017300128151077905,0.004645119612839742,-0.4540806192352443,Mann-Whitney U + cluster bootstrap,speaker,0.005806399516049677,True,-0.0097465053326966,-0.0198029476113567,0.0006126286029428,0.2374523844431024,0.3392176920615749,True,False
20,cross_language_fake,entropy,15.710842770124223,15.798579343092609,0.08773657296838522,0.03385199968262552,0.14820986138256645,0.0032242762024707666,0.42870999834841206,Mann-Whitney U + cluster bootstrap,speaker,0.004606108860672524,True,0.0259652737711633,-0.0453154672832472,0.1014086957868613,0.90954094819414,0.90954094819414,True,False
20,cross_language_fake,topk_1pct,0.045165811582248555,0.028361733849301865,-0.01680407773294669,-0.026457329723869785,-0.007331149755154112,0.0002758486750535368,-0.4887518615610542,Mann-Whitney U + cluster bootstrap,speaker,0.0006896216876338421,True,0.009995765819602,0.0005228672185346,0.0189764438200006,0.0115618505080458,0.0289046262701145,False,True
20,cross_language_fake,topk_5pct,0.13601164460391055,0.10725875833906696,-0.028752886264843583,-0.043570645268233114,-0.01384246529514683,0.0003939026272912047,-0.530788577713292,Mann-Whitney U + cluster bootstrap,speaker,0.0007878052545824094,True,-0.0011980390519162,-0.0164869492164321,0.0129155469864089,0.5732979277414113,0.7166224096767642,True,False
20,cross_language_fake,topk_10pct,0.22515697159233533,0.18950079646167747,-0.03565617513065786,-0.055176701396206146,-0.014874206246211037,0.00048676159936397956,-0.5198331987814442,Mann-Whitney U + cluster bootstrap,speaker,0.0008112693322732994,True,-0.0088827373395625,-0.024816684046997,0.0055259951006478,0.7442787787026959,0.8269764207807732,True,False
