group,window_ms,feature,n_samples,n_clusters,mean,median,ci_lo,ci_hi
cv_en_real,100,low_frac,100,99,0.7852565772719278,0.7972869541394507,0.7650446082476138,0.804409084236722
cv_en_real,100,mid_frac,100,99,0.14731564772500255,0.12670115593266518,0.13038526944871684,0.1653561094372311
cv_en_real,100,high_frac,100,99,0.06742777500306964,0.061447949510128996,0.05881977253431828,0.07695851925807179
cv_en_real,100,speech_frac,100,99,0.960838571190834,0.9747923016548157,0.9518905002474785,0.9687970949987946
cv_en_real,100,silence_frac,100,99,0.03916142783447867,0.025207754224538803,0.030480598778561446,0.04815296876182401
cv_en_real,100,gini,100,99,0.40621785843293445,0.38436577138151196,0.3803742425237911,0.4336034336569753
cv_en_real,100,entropy,100,99,15.47609253931684,15.573437878797762,15.402039354978445,15.540966213091375
cv_en_real,100,topk_1pct,100,99,0.026770635898614656,0.023587778553930787,0.025041434858480007,0.02863828845732881
cv_en_real,100,topk_5pct,100,99,0.12421313787073958,0.11054784749707526,0.11657194753835746,0.13246985074433576
cv_en_real,100,topk_10pct,100,99,0.2318921272922223,0.2119036992636925,0.2183091033708198,0.24716600052303023
cv_en_fake,100,low_frac,100,99,0.6330157514116884,0.6295637501835234,0.6154750000124402,0.6512224509876239
cv_en_fake,100,mid_frac,100,99,0.25059606564307235,0.24178903197990098,0.23686475992502767,0.26494753019853157
cv_en_fake,100,high_frac,100,99,0.11638818294523923,0.11247798705927808,0.10938883858811532,0.12398566222192525
cv_en_fake,100,speech_frac,100,99,0.9998535418510437,1.0,0.9995710458418335,1.0
cv_en_fake,100,silence_frac,100,99,0.00014645825722254814,0.0,0.0,0.000414094630149052
cv_en_fake,100,gini,100,99,0.30721321967516274,0.3130444337299495,0.2875780992537278,0.32839805281855405
cv_en_fake,100,entropy,100,99,15.709696866574047,15.748565358087607,15.667628930255322,15.748586673105653
cv_en_fake,100,topk_1pct,100,99,0.03282397981479851,0.025687565509350953,0.028858557045784987,0.03747480684496411
cv_en_fake,100,topk_5pct,100,99,0.1351423036205576,0.11639643345924072,0.12393011348049009,0.14812474055008548
cv_en_fake,100,topk_10pct,100,99,0.23167715906930864,0.2174411009542372,0.21697388702827594,0.24727984549105092
cv_hi_real,100,low_frac,100,86,0.839517512288768,0.8459598530159562,0.8233502815019839,0.855113748028141
cv_hi_real,100,mid_frac,100,86,0.1198338742885293,0.11600416002578545,0.10833492521337941,0.13150852753460496
cv_hi_real,100,high_frac,100,86,0.040648613422702554,0.02750996238427223,0.030421263684939772,0.05288166209390462
cv_hi_real,100,speech_frac,100,86,0.9450699728727341,0.9620107710361481,0.9304372096085359,0.9579518865838592
cv_hi_real,100,silence_frac,100,86,0.05493002511793747,0.03798920102417469,0.04217059452478734,0.06987490327167148
cv_hi_real,100,gini,100,86,0.357435300994918,0.35051585166691124,0.3302550962552384,0.38402253288530497
cv_hi_real,100,entropy,100,86,15.584653156199419,15.64824820565905,15.523103918777933,15.644606254444676
cv_hi_real,100,topk_1pct,100,86,0.02539699629283947,0.021630991153705717,0.022965113880088536,0.028538190506506092
cv_hi_real,100,topk_5pct,100,86,0.11545617598670108,0.10245845176322502,0.10664420689154515,0.12491535405394073
cv_hi_real,100,topk_10pct,100,86,0.21289726370392625,0.19527490760063854,0.20014705930874838,0.2277621396329762
cv_hi_fake,100,low_frac,100,86,0.3910694753828174,0.3574243357217939,0.3570165294066361,0.4289619250726251
cv_hi_fake,100,mid_frac,100,86,0.328923131089373,0.3500339058429198,0.31212903668394243,0.3448536192075056
cv_hi_fake,100,high_frac,100,86,0.28000739352780973,0.2972424937224343,0.25782248136964214,0.2999062933601245
cv_hi_fake,100,speech_frac,100,86,0.987786962389946,1.0,0.9774345443832992,0.9962590704858303
cv_hi_fake,100,silence_frac,100,86,0.01221303567290306,0.0,0.0035349545584216174,0.02296028774253984
cv_hi_fake,100,gini,100,86,0.271058396171899,0.2635986332867315,0.24376407382493656,0.2986771358095832
cv_hi_fake,100,entropy,100,86,15.76294286060165,15.807672763656509,15.725114470867394,15.799054749189564
cv_hi_fake,100,topk_1pct,100,86,0.02340611434721654,0.02019206178524464,0.02133297645638252,0.025602730251452713
cv_hi_fake,100,topk_5pct,100,86,0.10669213819939896,0.09515214628157626,0.09868448818040762,0.11501664770759538
cv_hi_fake,100,topk_10pct,100,86,0.1968550724704697,0.1808836122235622,0.1842128576117012,0.2114218999164289
asvspoof_a11,100,low_frac,200,2,0.7990095201423583,0.7988003215466802,0.7989603961126357,0.7990586441720808
asvspoof_a11,100,mid_frac,200,2,0.12857505948373094,0.12394783486834897,0.12008517105570465,0.13706494791175722
asvspoof_a11,100,high_frac,200,2,0.07241542037391083,0.06781394082841333,0.063876407916162,0.08095443283165965
asvspoof_a11,100,speech_frac,200,2,0.9130387529730797,0.9524420201778412,0.8377575528621674,0.988319953083992
asvspoof_a11,100,silence_frac,200,2,0.08696125496237073,0.047557998448610306,0.011680044637760147,0.1622424652869813
asvspoof_a11,100,gini,200,2,0.3435392354710151,0.3261529048179965,0.26432759493439106,0.4227508760076391
asvspoof_a11,100,entropy,200,2,15.642401343867226,15.711133279303091,15.494824937004537,15.789977750729912
asvspoof_a11,100,topk_1pct,200,2,0.02705107175165056,0.02458862638320389,0.02552412905843603,0.02857801444486509
asvspoof_a11,100,topk_5pct,200,2,0.1212319769327265,0.11330717022282082,0.10921076860462982,0.13325318526082314
asvspoof_a11,100,topk_10pct,200,2,0.22060665844269237,0.20766699097256333,0.19438646861670442,0.2468268482686803
