group,window_ms,feature,n_samples,n_clusters,mean,median,ci_lo,ci_hi
cv_en_real,20,low_frac,100,99,0.7804111916440972,0.781834239663514,0.7607924839012297,0.7986772911261691
cv_en_real,20,mid_frac,100,99,0.14834765489106114,0.12853376825704765,0.13128482188686444,0.1661471236118075
cv_en_real,20,high_frac,100,99,0.07124115346484168,0.06375007776101368,0.06167543100275329,0.08138683461267936
cv_en_real,20,speech_frac,100,99,0.9635305988788605,0.9794374704360962,0.953687490831722,0.9721983982529127
cv_en_real,20,silence_frac,100,99,0.0364694084628718,0.020562605932354927,0.02789476796432392,0.04647641419168655
cv_en_real,20,gini,100,99,0.44705940780356146,0.420655266235054,0.4204396994623745,0.473885276967415
cv_en_real,20,entropy,100,99,15.384860277306734,15.512227143501384,15.300671363151455,15.461098579022739
cv_en_real,20,topk_1pct,100,99,0.03723638823053277,0.03322993803354328,0.03430270244160644,0.040426521365850995
cv_en_real,20,topk_5pct,100,99,0.15343218394263017,0.13667596424662698,0.14254028344477884,0.16541220948083235
cv_en_real,20,topk_10pct,100,99,0.2701322603064581,0.2429650487561197,0.25388884984005594,0.2883965435167294
cv_en_fake,20,low_frac,100,99,0.6324814063331615,0.6357025121917568,0.6140187810973273,0.6508640309943635
cv_en_fake,20,mid_frac,100,99,0.2525759186046352,0.24201178249345934,0.2384979200094889,0.2672002450065704
cv_en_fake,20,high_frac,100,99,0.11494267506220321,0.11600672450598468,0.1079967568811849,0.12241518381892728
cv_en_fake,20,speech_frac,100,99,0.999699736237526,1.0,0.9991393492679403,1.0
cv_en_fake,20,silence_frac,100,99,0.00030026362277567385,0.0,0.0,0.0008606494526670437
cv_en_fake,20,gini,100,99,0.2911484418630202,0.28080657666347053,0.27098323280590453,0.3120956307094147
cv_en_fake,20,entropy,100,99,15.710842770124223,15.778675952058038,15.65958753626388,15.753754762278298
cv_en_fake,20,topk_1pct,100,99,0.045165811582248555,0.02964818891551639,0.03723359770540112,0.05431666418142422
cv_en_fake,20,topk_5pct,100,99,0.13601164460391055,0.11623837225061291,0.12423106777829786,0.14980551333592843
cv_en_fake,20,topk_10pct,100,99,0.22515697159233533,0.2067370571936516,0.21081518512412542,0.24000829997725684
cv_hi_real,20,low_frac,100,86,0.8307221101648103,0.8430019857709448,0.8133467538561392,0.8478710958592912
cv_hi_real,20,mid_frac,100,86,0.12458272498704574,0.12096816937231952,0.1128347429361993,0.13713221571935044
cv_hi_real,20,high_frac,100,86,0.04469516484814376,0.029799860571097216,0.03412287982568251,0.05727189212561311
cv_hi_real,20,speech_frac,100,86,0.9473550945520401,0.9658267796039581,0.9350060342103242,0.9583624937082871
cv_hi_real,20,silence_frac,100,86,0.05264490442350507,0.034173211082816124,0.04147867239387276,0.06569687832587347
cv_hi_real,20,gini,100,86,0.38950350425340297,0.37671458109560196,0.3631579215835818,0.4144804671246825
cv_hi_real,20,entropy,100,86,15.539089251904167,15.61849566339346,15.477512905785819,15.598097627344332
cv_hi_real,20,topk_1pct,100,86,0.034029885600727006,0.030634991053585876,0.03159072881226753,0.03659720685245739
cv_hi_real,20,topk_5pct,100,86,0.13716464851689844,0.1285296840882516,0.12937342400350305,0.1453313144122986
cv_hi_real,20,topk_10pct,100,86,0.24138114938592378,0.230494434888731,0.2290661637433913,0.25440238399248893
cv_hi_fake,20,low_frac,100,86,0.3871802030614543,0.3564450417656605,0.3514101003342354,0.4242311448931398
cv_hi_fake,20,mid_frac,100,86,0.33139551408074797,0.3467600218786004,0.3140205222640423,0.3471828299122572
cv_hi_fake,20,high_frac,100,86,0.28142428285779775,0.3043585858922988,0.25873686363685355,0.30125410348053183
cv_hi_fake,20,speech_frac,100,86,0.9856197887659073,1.0,0.9727261707444083,0.9952487482361647
cv_hi_fake,20,silence_frac,100,86,0.014380213133990764,0.0,0.004726793547674524,0.0272129486515205
cv_hi_fake,20,gini,100,86,0.2396722483652469,0.25303413436114264,0.21317216998964808,0.26595026516484094
cv_hi_fake,20,entropy,100,86,15.798579343092609,15.809760445582445,15.76462601170159,15.830831309838858
cv_hi_fake,20,topk_1pct,100,86,0.028361733849301865,0.024657869040291568,0.024832157906091053,0.032077033396054
cv_hi_fake,20,topk_5pct,100,86,0.10725875833906696,0.10558711389731439,0.09840014173625039,0.11672192505209537
cv_hi_fake,20,topk_10pct,100,86,0.18950079646167747,0.18949082725423652,0.1760096349279925,0.2036140693487324
asvspoof_a11,20,low_frac,200,2,0.8128873726233398,0.8124921558053756,0.8064248903056779,0.8193498549410018
asvspoof_a11,20,mid_frac,200,2,0.1335902715259558,0.121800812648426,0.1310701757238845,0.13611036732802714
asvspoof_a11,20,high_frac,200,2,0.05352235585070436,0.049622610011582316,0.04957996933511369,0.05746474236629503
asvspoof_a11,20,speech_frac,200,2,0.9255979898571968,0.9588924050331116,0.8585784137248993,0.9926175659894944
asvspoof_a11,20,silence_frac,200,2,0.07440200618771087,0.041107671335339546,0.007382428689397784,0.14142158368602395
asvspoof_a11,20,gini,200,2,0.4720651879795427,0.4576556264251358,0.4636331427308877,0.4804972332281977
asvspoof_a11,20,entropy,200,2,15.35233659796342,15.437955725375993,15.340765841808704,15.363907354118137
asvspoof_a11,20,topk_1pct,200,2,0.045928891603166946,0.037086161693150724,0.03548127233850082,0.056376510867833074
asvspoof_a11,20,topk_5pct,200,2,0.18410947882509987,0.1600979505472492,0.15212025337101376,0.216098704279186
asvspoof_a11,20,topk_10pct,200,2,0.31177142049728185,0.27851951704282174,0.27557191522903435,0.3479709257655293
