window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a,ci_lo,ci_hi,p_value,effect_size,test,bootstrap_unit,q_value_bh
50,cross_language_fake,low_frac,0.6386158598744206,0.3908116233434146,-0.24780423653100597,-0.28668347587469445,-0.206117748710521,1.2669060915642081e-21,-1.7563692048158168,Mann-Whitney U + cluster bootstrap,speaker,6.334530457821041e-21
50,cross_language_fake,mid_frac,0.2484608971025805,0.3293490646649998,0.08088816756241929,0.05892425242060695,0.10244363421829468,2.833786323276718e-13,1.024242288348975,Mann-Whitney U + cluster bootstrap,speaker,9.445954410922394e-13
50,cross_language_fake,high_frac,0.11292324302299889,0.27983931199158557,0.16691606896858668,0.1432691120609465,0.18783487739852311,2.0571379515938582e-23,2.217172848545469,Mann-Whitney U + cluster bootstrap,speaker,2.057137951593858e-22
50,cross_language_fake,speech_frac,0.9998047256469726,0.9866652202606201,-0.013139505386352557,-0.024987953037926683,-0.0035246820262613138,0.04664987253669902,-0.33143277342903826,Mann-Whitney U + cluster bootstrap,speaker,0.051833191707443355
50,cross_language_fake,silence_frac,0.0001952740177512169,0.013334780782461166,0.013139506764709949,0.003703280860311626,0.02581582653107072,0.04664987253669902,0.33143279578281143,Mann-Whitney U + cluster bootstrap,speaker,0.051833191707443355
50,cross_language_fake,gini,0.2937437664480151,0.2571191576537046,-0.03662460879431051,-0.07022437516087059,-0.0016020370436533688,0.05282048041994793,-0.32406001778257815,Mann-Whitney U + cluster bootstrap,speaker,0.05282048041994793
50,cross_language_fake,entropy,15.724000842043916,15.784877077284845,0.06087623524092933,0.006867968638640057,0.11395252901961074,0.03403642833060367,0.332274268376591,Mann-Whitney U + cluster bootstrap,speaker,0.048623469043719524
50,cross_language_fake,topk_1pct,0.035476569912088605,0.024163659999529043,-0.011312909912559562,-0.01868426512825604,-0.005537601448435975,7.903922805343696e-05,-0.48457516423295427,Mann-Whitney U + cluster bootstrap,speaker,0.0001975980701335924
50,cross_language_fake,topk_5pct,0.12912049958420183,0.10500739829993117,-0.02411310128427066,-0.03799788340909858,-0.010385242857851225,0.0009022926646460393,-0.4839671576538997,Mann-Whitney U + cluster bootstrap,speaker,0.0018045853292920785
50,cross_language_fake,topk_10pct,0.2212665061678232,0.1909836483402715,-0.03028285782755169,-0.04820678597403165,-0.011100230854047244,0.002558263037242641,-0.44612397147702326,Mann-Whitney U + cluster bootstrap,speaker,0.0042637717287377355
