comparison,band,quantity,mean_a,mean_b,b_minus_a,ci_lo,ci_hi,n_a,n_b,bootstrap_unit
cross_language_fake,low,energy_frac,0.786590428987925,0.49148747743356525,-0.2951029515543597,-0.34685040536370954,-0.24232247996826844,100,100,speaker
cross_language_fake,low,proxy_frac,0.734781301116983,0.4458029297515431,-0.2889783713654399,-0.33039784348762036,-0.24711660679551492,100,100,speaker
cross_language_fake,low,excess_frac,-0.0518091278709417,-0.04568454768202208,0.0061245801889196205,-0.013191577024594064,0.026141007609482403,100,100,speaker
cross_language_fake,mid,energy_frac,0.16680434350108958,0.28584831024905905,0.11904396674796947,0.08386071546475769,0.15290478471802887,100,100,speaker
cross_language_fake,mid,proxy_frac,0.19820357358287505,0.3081155519071926,0.10991197832431754,0.08126791222875733,0.13541529875566735,100,100,speaker
cross_language_fake,mid,excess_frac,0.03139923008178549,0.02226724165813349,-0.009131988423652,-0.02149008894407125,0.0049264361428822375,100,100,speaker
cross_language_fake,high,energy_frac,0.04317954517381344,0.21971120423528756,0.1765316590614741,0.14897100955955409,0.2022650600927483,100,100,speaker
cross_language_fake,high,proxy_frac,0.06701512530014185,0.24608151834126432,0.17906639304112248,0.15852856153011502,0.2013442722806575,100,100,speaker
cross_language_fake,high,excess_frac,0.023835580126328405,0.026370314105976792,0.0025347339796483875,-0.008216502023926778,0.01413385645610219,100,100,speaker
cross_language_real,low,energy_frac,0.8570293282467939,0.9010151295085653,0.04398580126177143,0.013811078655957511,0.0750546309788086,100,100,speaker
cross_language_real,low,proxy_frac,0.8548659311548948,0.896053740368036,0.041187809213141136,0.018618975464473407,0.0643417115834348,100,100,speaker
cross_language_real,low,excess_frac,-0.0021633970918990826,-0.004961389140529258,-0.002797992048630175,-0.01726625538662197,0.011383469577094456,100,100,speaker
cross_language_real,mid,energy_frac,0.11905382801963121,0.08854203213634776,-0.030511795883283455,-0.060318560046236355,-0.004006876254989692,100,100,speaker
cross_language_real,mid,proxy_frac,0.11499256224891827,0.08741089635063513,-0.027581665898283134,-0.04985844781813107,-0.007806861845138088,100,100,speaker
cross_language_real,mid,excess_frac,-0.004061265770712936,-0.0011311357857126184,0.0029301299850003175,-0.009254911143957056,0.01641549362045896,100,100,speaker
cross_language_real,high,energy_frac,0.023916822824833487,0.010442830826608686,-0.0134739919982248,-0.027119317367135205,-0.0022408384935595983,100,100,speaker
cross_language_real,high,proxy_frac,0.030141506596187036,0.016535363281328846,-0.01360614331485819,-0.021148784247516986,-0.006118876972984813,100,100,speaker
cross_language_real,high,excess_frac,0.006224683771353553,0.006092532454720159,-0.0001321513166333936,-0.006901439226324836,0.00885548520124382,100,100,speaker
english_fake_minus_real,low,energy_frac,0.0,-0.07043889925886901,-0.07043889925886901,-0.0855945771323257,-0.05781576661123456,100,100,speaker
hindi_fake_minus_real,low,energy_frac,0.0,-0.409527652075,-0.409527652075,-0.4500081364545814,-0.36703118949730634,100,100,speaker
language_x_reconstruction_interaction,low,energy_frac,-0.07043889925886901,-0.409527652075,-0.33908875281613104,-0.38143650787062205,-0.2927716380853183,100,100,speaker
english_fake_minus_real,low,proxy_frac,0.0,-0.12008463003791162,-0.12008463003791162,-0.13468658296161434,-0.10529205850523489,100,100,speaker
hindi_fake_minus_real,low,proxy_frac,0.0,-0.4502508106164928,-0.4502508106164928,-0.48547100768900636,-0.41359088648938247,100,100,speaker
language_x_reconstruction_interaction,low,proxy_frac,-0.12008463003791162,-0.4502508106164928,-0.33016618057858116,-0.3687917642089777,-0.2898890540523539,100,100,speaker
english_fake_minus_real,low,excess_frac,0.0,-0.049645730779042614,-0.049645730779042614,-0.059119765708754116,-0.04092186544582767,100,100,speaker
hindi_fake_minus_real,low,excess_frac,0.0,-0.040723158541492825,-0.040723158541492825,-0.05598419153472938,-0.026711627781027484,100,100,speaker
language_x_reconstruction_interaction,low,excess_frac,-0.049645730779042614,-0.040723158541492825,0.008922572237549789,-0.00966944517241875,0.026584245122596814,100,100,speaker
english_fake_minus_real,mid,energy_frac,0.0,0.04775051548145836,0.04775051548145836,0.040165108120925136,0.05616830747080588,100,100,speaker
hindi_fake_minus_real,mid,energy_frac,0.0,0.19730627811271134,0.19730627811271134,0.17845388571166482,0.2157562473288052,100,100,speaker
language_x_reconstruction_interaction,mid,energy_frac,0.04775051548145836,0.19730627811271134,0.14955576263125298,0.12931844443360346,0.16972144108365125,100,100,speaker
english_fake_minus_real,mid,proxy_frac,0.0,0.08321101133395675,0.08321101133395675,0.07328706797601223,0.09418509811218244,100,100,speaker
hindi_fake_minus_real,mid,proxy_frac,0.0,0.2207046555565574,0.2207046555565574,0.20401406401618633,0.23675227883359193,100,100,speaker
