language,n_speakers,mean,median,sd,q10,q25,q75,q90,fraction_nonpositive
english,974,5.719193213416454,6.051685273647308,3.3389928675946585,1.454523634910584,3.89428648352623,8.070385158061981,9.836518979072572,0.049281314168377825
hindi,338,2.3008538499419418,2.8496894761919975,3.789026164217943,-3.0242495330981902,-0.09231747686862951,5.127510975115001,6.5829563190539675,0.25443786982248523
