stage,covariate,english_mean,hindi_mean,difference,smd
before,low_energy_frac,0.7759965297611519,0.4870920485714396,0.28890448118971224,1.6231157873349367
before,mid_energy_frac,0.16013790612789136,0.2864460092013525,-0.12630810307346113,-1.1578366094375383
before,high_energy_frac,0.06018756926168928,0.2235576223959501,-0.1633700531342608,-1.716900729226744
before,rms,0.066318729530991,0.08210520514581598,-0.01578647561482499,-0.4079003975829919
before,peak,0.5848993055555556,0.5746462047894796,0.010253100766075995,0.03563188789450465
before,duration_s,4.8297857777777775,5.140088888888889,-0.31030311111111164,-0.2127120502785169
overlap_weighted,low_energy_frac,0.6637158162365705,0.6624519352337818,0.001263881002788736,0.0063438474124713476
overlap_weighted,mid_energy_frac,0.20785644635877687,0.20849484371063698,-0.0006383973518601094,-0.0049707433845081455
overlap_weighted,high_energy_frac,0.12583227119951831,0.12712911261633308,-0.0012968414168147702,-0.010461774143832155
overlap_weighted,rms,0.0955431383592103,0.09642107750799056,-0.0008779391487802601,-0.021223872636592273
overlap_weighted,peak,0.7536839970230971,0.7503077809326207,0.003376216090476336,0.013123158194427022
overlap_weighted,duration_s,5.097744146005047,5.1006425350955595,-0.002898389090512765,-0.001991055035724629
