feature,english_minus_hindi_rho,ci_lo,ci_hi,p_bootstrap_two_sided,n_bootstrap,bootstrap_unit,seed
low_frac,0.24048004800480044,-0.03185552706478605,0.5039508060341207,0.084,2000,speaker,11251
mid_frac,-0.1465466546654665,-0.4132135379330057,0.1256455127429342,0.312,2000,speaker,11252
high_frac,-0.2143534353435343,-0.4872826422704009,0.08497793534516451,0.138,2000,speaker,11253
gini,-0.029294929492949345,-0.31904074536187205,0.26913424356794297,0.837,2000,speaker,11254
entropy,0.036363636363636376,-0.24854924512553955,0.32201736828622535,0.841,2000,speaker,11255
topk_1pct,-0.0011041104110410815,-0.27216779675061087,0.27431586403011987,0.988,2000,speaker,11256
topk_5pct,-0.034587458745874544,-0.3210867021729984,0.24006677262910225,0.846,2000,speaker,11257
topk_10pct,-0.020474047404740486,-0.2912268890620036,0.2436286073360612,0.903,2000,speaker,11258
