utt_id,label,method,window_ms,topk_frac,comprehensiveness,sufficiency
LA_E_2137584,0,occlusion,20.0,0.05,-1.4642319679260254,-6.073278427124023
LA_E_2137584,0,occlusion,20.0,0.1,-0.5095100402832031,-6.206975936889648
LA_E_2137584,0,occlusion,20.0,0.2,0.668982982635498,-6.112623691558838
LA_E_2137584,0,occlusion,50.0,0.05,-0.8618464469909668,-2.73209810256958
LA_E_2137584,0,occlusion,50.0,0.1,-0.4498319625854492,-6.231997489929199
LA_E_2137584,0,occlusion,50.0,0.2,0.26491212844848633,-6.2276129722595215
LA_E_2137584,0,occlusion,100.0,0.05,-0.6603984832763672,-1.3458682298660278
LA_E_2137584,0,occlusion,100.0,0.1,0.6048002243041992,-5.710642337799072
LA_E_2137584,0,occlusion,100.0,0.2,0.5863156318664551,-5.985326290130615
LA_E_2137584,0,integrated_gradients,,0.05,0.8196663856506348,-6.00959587097168
LA_E_2137584,0,integrated_gradients,,0.1,0.7510166168212891,-6.116722583770752
LA_E_2137584,0,integrated_gradients,,0.2,0.8496294021606445,-6.07614803314209
LA_E_6549561,0,occlusion,20.0,0.05,-1.6986274719238281,-6.090384006500244
LA_E_6549561,0,occlusion,20.0,0.1,-1.1335248947143555,-6.124123573303223
LA_E_6549561,0,occlusion,20.0,0.2,0.08017730712890625,-6.173264026641846
LA_E_6549561,0,occlusion,50.0,0.05,-0.5620689392089844,-2.6468818187713623
LA_E_6549561,0,occlusion,50.0,0.1,-0.8614282608032227,-6.126932621002197
LA_E_6549561,0,occlusion,50.0,0.2,0.20831775665283203,-6.055023193359375
LA_E_6549561,0,occlusion,100.0,0.05,-0.9596962928771973,1.885433316230774
LA_E_6549561,0,occlusion,100.0,0.1,-0.9591565132141113,-5.482084274291992
LA_E_6549561,0,occlusion,100.0,0.2,0.16614151000976562,-6.029892921447754
LA_E_6549561,0,integrated_gradients,,0.05,0.5078487396240234,-6.094921112060547
LA_E_6549561,0,integrated_gradients,,0.1,0.5654010772705078,-6.197887420654297
LA_E_6549561,0,integrated_gradients,,0.2,0.568903923034668,-6.191143989562988
LA_E_8855620,1,occlusion,20.0,0.05,3.0913009643554688,-3.446682929992676
LA_E_8855620,1,occlusion,20.0,0.1,5.6953236274421215,-4.476448059082031
LA_E_8855620,1,occlusion,20.0,0.2,6.903977394104004,-5.807066917419434
LA_E_8855620,1,occlusion,50.0,0.05,3.317546844482422,-1.7517906427383423
LA_E_8855620,1,occlusion,50.0,0.1,4.98126745223999,-2.8447799682617188
LA_E_8855620,1,occlusion,50.0,0.2,6.162131428718567,-0.8206149339675903
LA_E_8855620,1,occlusion,100.0,0.05,1.5005955696105957,-0.9252654910087585
LA_E_8855620,1,occlusion,100.0,0.1,3.4275858402252197,-1.0257400274276733
LA_E_8855620,1,occlusion,100.0,0.2,5.22378808259964,0.9810738563537598
LA_E_8855620,1,integrated_gradients,,0.05,3.4002108573913574,-5.649341106414795
