english_row,hindi_row,distance,english_pair_id,hindi_pair_id
5,512,0.49787558209322497,5,512
17,927,0.6933289325640258,17,927
20,251,0.2745897539296352,20,251
23,1033,0.8006005390523856,23,1033
26,1095,0.4483599725058741,26,1095
27,248,0.7962366113835545,27,248
31,343,0.2789331898834464,31,343
33,1045,0.4710792844920889,33,1045
38,410,0.7129940019726189,38,410
44,54,0.6694360529100453,44,54
53,1038,0.6121524581171687,53,1038
57,1055,0.6109335389517251,57,1055
60,1081,0.855061201633974,60,1081
69,1039,0.4577592299623059,69,1039
80,535,0.8094481309267306,80,535
81,1069,0.4955300487542525,81,1069
85,1110,0.731976091300334,85,1110
87,909,0.7090459720290334,87,909
96,141,0.6787704984133476,96,141
105,73,0.40122895074088466,105,73
108,745,0.6685721782921579,108,745
112,387,0.2715272976883331,112,387
113,32,0.6779795904354806,113,32
115,1123,0.9859620690341229,115,1123
122,1096,0.9525306262870663,122,1096
124,557,0.46214894265877826,124,557
145,1044,0.37952056805023426,145,1044
150,680,0.8830148772685559,150,680
151,475,0.882794113822802,151,475
170,568,0.9143669350660478,170,568
177,256,0.25958222512786194,177,256
193,1087,0.592854485591653,193,1087
195,1061,0.9865584203351203,195,1061
197,329,0.6540807359199213,197,329
203,548,0.9367211928668411,203,548
205,232,0.885336315886222,205,232
207,764,0.81612709084362,207,764
208,782,0.4929104271864936,208,782
212,1098,0.7578699153772361,212,1098
213,142,0.4708104835687531,213,142
219,514,0.7008202499218258,219,514
226,1118,0.8348149610206974,226,1118
230,1040,0.4844176240252616,230,1040
235,302,0.45931408066992874,235,302
243,864,0.5770405847507571,243,864
246,29,0.11765205857183184,246,29
250,325,0.9642291646940495,250,325
252,1059,0.5310509741260203,252,1059
253,829,0.4949776269894645,253,829
255,1090,0.7277813035288861,255,1090
260,1041,0.6208177459498192,260,1041
268,460,0.9768083870612083,268,460
269,25,0.7316406806783073,269,25
277,1085,0.8532621301127713,277,1085
278,917,0.5942595729295008,278,917
280,37,0.9279834171742066,280,37
284,5,0.5220234159932191,284,5
285,139,0.7409003557790583,285,139
286,1082,0.5754063889402579,286,1082
296,117,0.9078901804788744,296,117
299,1,0.6635720377127121,299,1
301,10,0.88776575313176,301,10
312,1036,0.6986994631493119,312,1036
315,1060,0.9463486707498773,315,1060
316,397,0.4893519098336603,316,397
318,1119,0.5280341562029418,318,1119
319,454,0.7979590045786259,319,454
323,1091,0.46859761758134805,323,1091
324,1071,0.8970697878718391,324,1071
