sample_key,pair_id,analysis_cluster,label,path,ig_delta,ig_comp_5,ig_suff_5,ig_comp_10,ig_suff_10,ig_comp_20,ig_suff_20
1002_english_fake_1002,1002,72fa4494c0ae90905d3e7b046cced92d9dfd9a1dfe7bd6b417b25b624c3ede012ea9f4347190f7df632505485b9b85aee0eab6012f82eedcede303e47450e7d7,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1002.wav,1.1281918138814682,3.900996759533882,-4.519115924835205,4.146676614880562,-6.1588215827941895,1.969524934887886,-3.6806411743164062
1032_english_fake_1032,1032,a67ea11203bf123fcd175858ced893c999654827e1be9016973959723c52339bcc804a4b6c052cf0dd3c0b189fdb22207e8a0bae5e2f02245083c80d76d730a3,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1032.wav,2.5239619438881795,4.595913112163544,-6.099748611450195,5.214504420757294,-6.204721450805664,6.46744841337204,-5.980571746826172
1036_english_fake_1036,1036,d1813b3a39bbd5d6f35e04e8e2151930a40e56cefcc57eb71351d6cde06a360b99e6c7791989ff337b308103b8dd7f2f705c01f88506ec4146042276b5a122ce,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1036.wav,-0.3824471094444384,2.9910733103752136,-5.9868879318237305,1.8192135691642761,-6.042819976806641,1.5050349831581116,-5.920442581176758
1044_english_fake_1044,1044,2613068726292355af6306df9b9448429d185bd61430a67718d1da33e22d3b695383a562c5a385f7df0cfd18b3cda8fa718e306ac9879707519a3ccaddb00154,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1044.wav,-5.01874858318029,0.18602991104125977,-5.7094831466674805,0.07944822311401367,-6.093456268310547,0.18372392654418945,-6.251371383666992
1048_english_fake_1048,1048,47eab07d923d67d86227a7cef43ba747a0bb73c42ddf79a028f02e524bcb7ec8958a0f8f0c9365130c8ace2dfb83390d035ce5950b19f38463079bf11f5509eb,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1048.wav,1.4639584654584619,10.396639347076416,-4.2034382820129395,9.537716388702393,-1.7813230752944946,8.7279634475708,-1.13628351688385
1050_english_fake_1050,1050,d1c5f949b950acff73774df763348084cac3b5e4d3593069e091c5962357ac3ee43613ca3ae0bd45d12357dc37c535b5f1016945d71f74f1f3dfa8f8e0995338,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1050.wav,-0.39892813096433866,4.993164420127869,-6.052670955657959,5.062342047691345,-6.18037223815918,1.8932403326034546,-6.2271728515625
1053_english_fake_1053,1053,e543cc12c580c37bb3b8b3f7904755db09992fc3d80a6166c231ad1dd6ac939bd8dc0a9e857b6d160cd42ebc5f8e9c9cd086e289027f1efa0ed914e44537b513,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1053.wav,-0.18613036002377026,1.4643332958221436,-4.64398717880249,1.7878011465072632,-6.065019130706787,1.4257071018218994,-6.16880464553833
1056_english_fake_1056,1056,ec89bf72638f6265060c86f7407b002bb309d6f741e3a5fd806c873e17b7fe6fc8709aa83aa29f2fd8fb85c32e4362da17de510e68100b9ab69112a7a4b98a8b,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1056.wav,-0.20408522582056454,8.429004669189453,-6.170353889465332,8.964227199554443,-6.1012864112854,6.438500165939331,-3.7593071460723877
1061_english_fake_1061,1061,82f6efc51109b0bf49ddffc1c25f741e829f97693190472af40ef149afc34810117bcf347aa5dc553239a149ca670eb50780f5aa54c5744c7406ea577fb9de23,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1061.wav,1.1950651322299102,2.6496286392211914,-6.196380615234375,2.651841163635254,-6.101069450378418,2.2236485481262207,-6.075962066650391
1063_english_fake_1063,1063,409cd65d420a277b83b2021d2f9ed4086713d62a714661a851f13367f9ce3171b940f57dd4216f6c7e6f877ca02bb8d104475499592153735f1c91bd88960a56,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1063.wav,-4.26149650076426,3.1330924034118652,-5.635351181030273,3.0949835777282715,-6.029528617858887,1.9872946739196777,-6.124517917633057
1075_english_fake_1075,1075,36922c402abcb8a960e15a726c1eb0bc363d122ae506ce244e70ed2856d94436d80da7151a14c5bdf25b8b780e67ebe3d286677fde1a458b1348677b58ada1ec,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1075.wav,0.21369660625106945,4.001914620399475,-5.970688819885254,3.947078824043274,-6.032749652862549,3.103094220161438,-6.043551445007324
108_english_fake_0108,108,7bf8e335b222c8f3eceaee7f9a0e4ada4d4de7d2fa39b6503a2fddb8334e437ba9cd1c7ad266a08048d0a324e2e1147e57b7befa84d4abdaa17a7209b9854567,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0108.wav,2.687483505939923,1.959794044494629,-6.250613212585449,1.9439921379089355,-6.269722938537598,1.7387056350708008,-6.128389358520508
1090_english_fake_1090,1090,7901622282b4a34e1b1367e79c8435281595ba66942f5bcd6a63be9d03f1853b9a78cfe7751b28d704b0b71ef0622d4f2286b307c4c4232841726caa7d102f03,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1090.wav,-1.5621784378024124,5.193402111530304,-6.174015998840332,8.681646823883057,-6.0748748779296875,9.967788696289062,-3.5024924278259277
1097_english_fake_1097,1097,341ce7bb8bca97ea26dbb3fe4bb111a51e5b2173cf305527dbc4155064cf046baab8c77c7fd1dc924893b6282332542e289382f4fc1ba0094799ec30c4d2401c,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1097.wav,-1.6522839678692662,4.837427735328674,-4.144182205200195,4.9821707010269165,-4.697620391845703,4.767048478126526,-4.835851192474365
1101_english_fake_1101,1101,3d500be5f0ac82734ed233877afd75e82a0bbc6ff6317dda86bf1200c1a21c26f1d0923dd27d8a1d0b5a015ab3df12e5e7091a959b21c2da852854f0365fbe5e,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1101.wav,-0.6845050949933427,4.142718315124512,-6.0457234382629395,4.215455532073975,-6.0329999923706055,3.584024429321289,-6.124163627624512
1116_english_fake_1116,1116,57d9be2eeda5fbaad0290c45f4e95813da95e09633d5fd84df35a758151788abec644a351cdf610c7b792561d1db0ac6f122dbc94404646941967bd6f0befd44,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1116.wav,2.506647257419819,3.7646743059158325,-6.140290260314941,4.065493226051331,-6.265461444854736,4.004477143287659,-6.153102874755859
1124_english_fake_1124,1124,04a248bc0cc9b8d91ed448e89914226cdc02d79ad7d6e16b1f465a314c309237bd129173d14caf301a038141a7e3e1be76c61c098ad7ed2d91a3cdaf3dd4b7a7,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1124.wav,-0.25422888089213025,7.311256408691406,-4.149604797363281,7.002713203430176,-6.194112777709961,6.203731060028076,-6.00286865234375
113_english_fake_0113,113,9c08dc6149dbb8f8308a5c383d34ab4637ed7fe1a9609e59d193cedb16c652716b6615184dfc6897be7e21f904ce1f1a9b58db97f543075f88c128f2c24da8b2,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0113.wav,-3.4938142018136205,0.05779743194580078,-6.031747341156006,0.02247476577758789,-6.181016445159912,-0.01634836196899414,-6.134960651397705
