sample_key,pair_id,analysis_cluster,label,path,duration_s,content_fraction,ig_delta,low_frac,mid_frac,high_frac,speech_frac,silence_frac,silence_duration_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
1002_hindi_real_1002,1002,7b90778674a3659c892533d96bb0aa534879da17cd2f9cb1ae73fc3cc114dda10eba8bb6cfeddbafde910b396a60b95e64b4134430071bf2dd23b8d6a9c32785,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1002.wav,7.38,1.0,0.0367111362285474,0.8900655052256254,0.10235499546301971,0.007579499311354888,0.9746601581573486,0.02533976174890995,0.13473684210526315,0.7538443675914683,14.227059720878183,0.19076922377207842,0.4377445145930863,0.5997898450634184
1032_hindi_real_1032,1032,cea40007071ea914e41633e74d05142fd1f5f8f49c154534816017cf89ce625657c804fe479fe87c08854ecd847697d6ca0fb6bcf424006c307f65430c34785e,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1032.wav,5.076,1.0,0.8563780405764194,0.8828870654539751,0.11155225046854848,0.005560684077476325,0.977694571018219,0.02230544202029705,0.2946130030959752,0.7458079029708589,14.355950337441165,0.15553299684976407,0.40720157034910454,0.5785720584577797
1036_hindi_real_1036,1036,b726b76c3576ad4edb7eeec20cfca6ae5b5ce074dd7e042da97ec800dc152b6fc7d0c462260dde20cea9d99782632cdd7a47c83c615cfcc3324c9b890fc12ee9,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1036.wav,7.848,1.0,-8.612826870508576,0.9246906560999474,0.07169654108468217,0.0036128028153703928,0.9913270473480225,0.008672993630170822,0.19814241486068113,0.7565773266354425,14.29305329112026,0.15881431803364532,0.419851283580934,0.5946719915586075
1044_hindi_real_1044,1044,60b2daa4cda30b5320834f3c2d21ea1841b52ccd7bf7ed4689f3ff27ca59c3323707c95e9a17bea4082356c576bbc3f17a00106134240f3632529b329fc1e62a,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1044.wav,6.156,1.0,0.1749315449592652,0.9927149915056497,0.005839536073601085,0.001445472420749247,0.9835394620895386,0.016460558399558067,0.27876160990712073,0.7616192628993672,14.281049250542845,0.15303570636971217,0.4139531488411807,0.5943741015347996
1048_hindi_real_1048,1048,a4a1040c8228b7c4f4f6d82e4db994894b669b51b15980a75e3c7f8f91169c13973557c4f950a4eef6447617ff114233bc495632040f6b24694c4127cc9a86b9,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1048.wav,7.92,1.0,-0.3423112708241111,0.9343996511669153,0.04498938357497523,0.020610965258109442,0.9811180233955383,0.018882038071751595,0.29325077399380806,0.7955656983820403,14.023949596864414,0.18875912655131047,0.47080346703183024,0.648089129184456
1050_hindi_real_1050,1050,5191b8af39731f5141ffac823e13e25016e5b3109209f12d3337bdfc92ddff74ea717e293a01fe3b90fb2be2a87b0621cc385140b097b7e6d76f1d2e2f319d74,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1050.wav,7.236,1.0,3.972706636730989,0.8028150097622643,0.18153600371660472,0.015648986521131066,0.9663498401641846,0.033650051802396774,0.19021671826625386,0.7369471956310378,14.423383221837527,0.13995429828605543,0.39575002405950765,0.5737073911668537
1053_hindi_real_1053,1053,9c12887b11ae7ce76bcb5c4ca6b56f174e89c82f02c52c05b93ac7a40b6fb7b28d8474241a7dc36b3ad5b36eab48a209bf7e68a905ca64ac40b89e9311dec25d,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1053.wav,3.672,0.9094736842105264,-1.4225630578656423,0.9263123795295869,0.0692793631305729,0.004408257339840215,0.9998986721038818,0.00010129508882528171,0.047554179566563465,0.6899820311947431,14.62281495270488,0.14149631476147162,0.3646012465215202,0.5221880912438972
1056_hindi_real_1056,1056,74751bae9cd9bc9a9c005dce39ee035a3d1a201afb6bc83523226793b7fa2526d2c29ccebaaee7bcc6af9949646ae1bde77eade6fcec218564391c06e0ec86d3,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1056.wav,4.968,1.0,-0.9339721650531114,0.9340873494095046,0.0605109668221236,0.005401683768371944,0.9810085296630859,0.018991444259881973,0.2153560371517028,0.7878599351338087,14.03329798510824,0.1952721782598461,0.465036959934038,0.6381984879766375
1061_hindi_real_1061,1061,52f22814969ddf3ae439c9927cdc815781938e7b8db9939cbe5cc7211c83b3dd6eccb62b360571d4002d64878c3b70340e8a76bf784048ff984b73b71d31fc52,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1061.wav,2.808,0.6954798761609907,0.0002056713455926,0.8492239409961025,0.13969826940487193,0.011077789599025507,0.9798434376716614,0.020156649872660637,0.25956656346749224,0.7869811478140487,14.111463874938151,0.16750595844708097,0.449271222667702,0.6360689747999866
1063_hindi_real_1063,1063,6599122319c224d4b370bdaa817d68a9d0d1774b81aada4980c0519f78ae3a9ebea33cc1b8fc6a20008d791474bdefb675e448b3c00d10d0fd05a39e153e922e,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_1063.wav,6.156,1.0,0.736595134967895,0.9764061554643714,0.01636446047236853,0.0072293840632601135,0.9834134578704834,0.016586581245064735,0.20606811145510837,0.7243469818453898,14.50338272728656,0.1308170091987144,0.3663892300801834,0.5404590808007843
