sample_key,pair_id,analysis_cluster,label,path,duration_s,content_fraction,ig_delta,low_frac,mid_frac,high_frac,speech_frac,silence_frac,silence_duration_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
1002_hindi_fake_1002,1002,7b90778674a3659c892533d96bb0aa534879da17cd2f9cb1ae73fc3cc114dda10eba8bb6cfeddbafde910b396a60b95e64b4134430071bf2dd23b8d6a9c32785,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1002.wav,7.38,1.0,0.0687504924785753,0.28510442901701866,0.3729876375319422,0.3419079334510391,1.0,0.0,0.0,0.7161624365901376,14.436640160479367,0.17321549509192508,0.4236611958537955,0.5779232905897358
1032_hindi_fake_1032,1032,cea40007071ea914e41633e74d05142fd1f5f8f49c154534816017cf89ce625657c804fe479fe87c08854ecd847697d6ca0fb6bcf424006c307f65430c34785e,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1032.wav,5.076,1.0,0.0750886294907182,0.5703555771992869,0.3039629401079351,0.12568148269277815,1.0,0.0,0.0,0.6770710509733948,14.71080017866473,0.12489024684918142,0.3490202829718543,0.5098693776097654
1036_hindi_fake_1036,1036,b726b76c3576ad4edb7eeec20cfca6ae5b5ce074dd7e042da97ec800dc152b6fc7d0c462260dde20cea9d99782632cdd7a47c83c615cfcc3324c9b890fc12ee9,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1036.wav,7.848,1.0,3.8474653024051,0.4647827636471122,0.33488048172564133,0.20033675462724643,1.0,0.0,0.0,0.7621898561321492,13.979403155931797,0.26031405449485184,0.49841330517661414,0.6393943697118154
1044_hindi_fake_1044,1044,60b2daa4cda30b5320834f3c2d21ea1841b52ccd7bf7ed4689f3ff27ca59c3323707c95e9a17bea4082356c576bbc3f17a00106134240f3632529b329fc1e62a,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1044.wav,6.156,1.0,1.282830716156807,0.655231453999175,0.2029952064224092,0.14177333957841565,1.0,0.0,0.0,0.7261925806395084,14.35312362605156,0.18975721153834826,0.43050568825598295,0.5839213672426109
1048_hindi_fake_1048,1048,a4a1040c8228b7c4f4f6d82e4db994894b669b51b15980a75e3c7f8f91169c13973557c4f950a4eef6447617ff114233bc495632040f6b24694c4127cc9a86b9,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1048.wav,7.92,1.0,-0.1814984115648537,0.45053822615211375,0.3205742962955974,0.22888747755228883,1.0,0.0,0.0,0.7158577882067889,14.428166980314323,0.1789922449868293,0.42243508844355565,0.5758368104788923
1050_hindi_fake_1050,1050,5191b8af39731f5141ffac823e13e25016e5b3109209f12d3337bdfc92ddff74ea717e293a01fe3b90fb2be2a87b0621cc385140b097b7e6d76f1d2e2f319d74,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1050.wav,7.236,1.0,9.287385482368965,0.5690697830522772,0.3252446826712792,0.10568553427644357,1.0,0.0,0.0,0.6977314852301117,14.62545872031021,0.12509751861899088,0.3611971481707698,0.5307660919941638
1053_hindi_fake_1053,1053,9c12887b11ae7ce76bcb5c4ca6b56f174e89c82f02c52c05b93ac7a40b6fb7b28d8474241a7dc36b3ad5b36eab48a209bf7e68a905ca64ac40b89e9311dec25d,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1053.wav,3.672,0.9094736842105264,-0.9835510141743686,0.4645343029780328,0.3299983152183119,0.20546738180365537,1.0,0.0,0.0,0.6863298973791283,14.60839032290393,0.15431273004681267,0.3829332643490435,0.5344602894073117
1056_hindi_fake_1056,1056,74751bae9cd9bc9a9c005dce39ee035a3d1a201afb6bc83523226793b7fa2526d2c29ccebaaee7bcc6af9949646ae1bde77eade6fcec218564391c06e0ec86d3,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1056.wav,4.968,1.0,0.1415573400623815,0.5906635868254806,0.2627881661105115,0.14654824706400799,1.0,0.0,0.0,0.7004945207046727,14.569411083207811,0.14597862387137095,0.3818886469251273,0.5431370625987316
1061_hindi_fake_1061,1061,52f22814969ddf3ae439c9927cdc815781938e7b8db9939cbe5cc7211c83b3dd6eccb62b360571d4002d64878c3b70340e8a76bf784048ff984b73b71d31fc52,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1061.wav,2.808,0.6954798761609907,0.1633601564984346,0.40016372094037117,0.3732046754072596,0.2266316036523692,1.0,0.0,0.0,0.7180917944512457,14.439794270941231,0.17028750117633082,0.41495727915749214,0.572735064641729
1063_hindi_fake_1063,1063,6599122319c224d4b370bdaa817d68a9d0d1774b81aada4980c0519f78ae3a9ebea33cc1b8fc6a20008d791474bdefb675e448b3c00d10d0fd05a39e153e922e,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1063.wav,6.156,1.0,-0.1061118614967959,0.7100609230600426,0.17125060368441,0.11868847325554745,1.0,0.0,0.0,0.6948922882993744,14.592454917046657,0.14733943528437207,0.38069875547226917,0.5401698694087377
1075_hindi_fake_1075,1075,5910123d516315dfc2a43523d5cbc63444096a4cd38bb8b772155e3c51fb2f1eb673beaa1603de242ad8aa5dafe9d0ebd85a1c02bc6a7ee45e636585932306ae,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1075.wav,3.348,0.8292260061919505,0.0852271761208995,0.29678036851656725,0.41551554803118446,0.28770408345224824,1.0,0.0,0.0,0.7350407550145368,14.2625823852362,0.20592591045666103,0.4512993566319125,0.6025167546020576
